,시군구,환경지표_score
192,중랑구,98.7011022964834
193,동작구,41.2546940816567
194,강남구,19.071216500868555
195,노원구,73.82736650264715
196,강서구,77.83118571908382
197,강남구,19.071216500868555
198,마포구,36.21928010941029
199,은평구,74.88196584935213
200,동작구,41.2546940816567
201,용산구,38.59397973907843
202,은평구,74.88196584935213
203,구로구,70.97225945894482
204,관악구,77.86743315829996
205,양천구,65.10383413720601
206,양천구,65.10383413720601
207,강북구,105.36993886865436
208,은평구,74.88196584935213
209,중랑구,98.7011022964834
210,강남구,19.071216500868555
211,서초구,20.295261744023893
212,양천구,65.10383413720601
213,양천구,65.10383413720601
214,서초구,20.295261744023893
215,영등포구,25.401158874725976
216,영등포구,25.401158874725976
217,노원구,73.82736650264715
218,노원구,73.82736650264715
219,강남구,19.071216500868555
220,송파구,48.71522932797662
221,동작구,41.2546940816567
222,강서구,77.83118571908382
223,영등포구,25.401158874725976
224,관악구,77.86743315829996
225,관악구,77.86743315829996
226,노원구,73.82736650264715
227,영등포구,25.401158874725976
228,노원구,73.82736650264715
229,강서구,77.83118571908382
230,송파구,48.71522932797662
231,강북구,105.36993886865436
232,구로구,70.97225945894482
233,은평구,74.88196584935213
234,은평구,74.88196584935213
235,송파구,48.71522932797662
236,구로구,70.97225945894482
237,용산구,38.59397973907843
238,성북구,50.47278696655239
239,용산구,38.59397973907843
240,용산구,38.59397973907843
241,노원구,73.82736650264715
242,구로구,70.97225945894482
243,중랑구,98.7011022964834
244,노원구,73.82736650264715
245,구로구,70.97225945894482
246,강남구,19.071216500868555
247,은평구,74.88196584935213
248,은평구,74.88196584935213
249,중구,35.48083657280671
250,중랑구,98.7011022964834
251,서대문구,46.19379882574886
252,중구,35.48083657280671
253,노원구,73.82736650264715
254,서대문구,46.19379882574886
255,관악구,77.86743315829996
256,송파구,48.71522932797662
257,광진구,60.19373183370286
258,도봉구,89.94662719895763
259,송파구,48.71522932797662
260,송파구,48.71522932797662
261,송파구,48.71522932797662
262,송파구,48.71522932797662
263,중구,35.48083657280671
264,영등포구,25.401158874725976
265,노원구,73.82736650264715
266,송파구,48.71522932797662
267,도봉구,89.94662719895763
268,동대문구,58.57481779644922
269,용산구,38.59397973907843
270,강남구,19.071216500868555
271,강남구,19.071216500868555
272,종로구,32.34150469437501
273,강남구,19.071216500868555
274,서대문구,46.19379882574886
275,중랑구,98.7011022964834
276,은평구,74.88196584935213
277,양천구,65.10383413720601
278,강남구,19.071216500868555
279,송파구,48.71522932797662
280,도봉구,89.94662719895763
281,강북구,105.36993886865436
282,강남구,19.071216500868555
283,동대문구,58.57481779644922
284,노원구,73.82736650264715
285,노원구,73.82736650264715
286,은평구,74.88196584935213
287,중랑구,98.7011022964834
288,강남구,19.071216500868555
289,은평구,74.88196584935213
290,양천구,65.10383413720601
291,영등포구,25.401158874725976
292,강서구,77.83118571908382
293,노원구,73.82736650264715
294,강서구,77.83118571908382
295,서대문구,46.19379882574886
296,서대문구,46.19379882574886
297,성북구,50.47278696655239
298,마포구,36.21928010941029
299,중구,35.48083657280671
