,학교명,평균 교육 시간(1학급당),500m_inner_police_dept,500m_inner_cctv,경감지표_score,경감지표_cluster,경감지표_학교폭력위험도
33,광신방송예술고등학교,100.0,0,138,20,0,매우 안전하지 않음
34,광양고등학교,106.5,0,205,60,4,보통
35,광영고등학교,450.0,0,109,80,2,안전
36,광영여자고등학교,528.55,0,109,80,2,안전
37,광운인공지능고등학교,170.0,0,170,60,4,보통
38,구로고등학교,40.9,0,231,60,4,보통
39,구암고등학교,28.25,0,86,20,0,매우 안전하지 않음
40,구일고등학교,28.3,0,76,20,0,매우 안전하지 않음
41,구현고등학교,800.0,0,62,80,2,안전
42,국립국악고등학교,113.0,1,316,100,1,매우 안전
43,국립전통예술고등학교,41.7,0,243,60,4,보통
44,금옥여자고등학교,75.0,0,109,20,0,매우 안전하지 않음
45,금천고등학교,159.5,0,188,60,4,보통
46,금호고등학교,66.75,1,226,100,1,매우 안전
47,남강고등학교,72.6,0,404,60,4,보통
48,노원고등학교,2.9000000000000004,0,49,20,0,매우 안전하지 않음
49,누원고등학교,179.5,1,59,40,3,안전하지 않음
50,단국대학교부속소프트웨어고등학교,262.5,1,250,100,1,매우 안전
51,단국대학교사범대학부속고등학교,255.0,1,250,100,1,매우 안전
52,당곡고등학교,63.900000000000006,0,360,60,4,보통
53,대경생활과학고등학교,145.85,1,242,100,1,매우 안전
54,대광고등학교,41.0,0,204,60,4,보통
55,대동세무고등학교,48.650000000000006,0,60,20,0,매우 안전하지 않음
56,대성고등학교,187.1,0,92,20,0,매우 안전하지 않음
57,대신고등학교,136.35,1,156,40,3,안전하지 않음
58,대영고등학교,100.0,0,268,60,4,보통
59,대원고등학교,70.0,1,179,40,3,안전하지 않음
60,대원여자고등학교,116.7,1,179,40,3,안전하지 않음
61,대원외국어고등학교,180.0,1,179,40,3,안전하지 않음
62,대일고등학교,213.4,0,240,60,4,보통
63,대일관광고등학교,200.0,0,106,20,0,매우 안전하지 않음
64,대일외국어고등학교,150.0,0,152,20,0,매우 안전하지 않음
65,대진고등학교,81.55000000000001,0,57,20,0,매우 안전하지 않음
66,대진디자인고등학교,106.7,0,46,20,0,매우 안전하지 않음
67,대진여자고등학교,100.0,1,76,40,3,안전하지 않음
68,덕성여자고등학교,100.0,1,48,40,3,안전하지 않음
69,덕수고등학교,287.9,0,136,80,2,안전
70,덕원여자고등학교,100.0,1,44,40,3,안전하지 않음
71,덕원예술고등학교,137.3,1,44,40,3,안전하지 않음
72,덕일전자공업고등학교,270.85,1,134,40,3,안전하지 않음
73,도봉고등학교,100.0,0,100,20,0,매우 안전하지 않음
74,도선고등학교,214.3,1,246,100,1,매우 안전
75,독산고등학교,96.25,0,186,60,4,보통
76,동구마케팅고등학교,347.1,0,97,80,2,안전
77,동국대학교사범대학부속고등학교,309.1,1,140,40,3,안전하지 않음
78,동국대학교사범대학부속여자고등학교,116.4,0,379,60,4,보통
79,동덕여자고등학교,1.0,0,148,20,0,매우 안전하지 않음
80,동명생활경영고등학교,391.65,0,202,80,2,안전
81,동명여자고등학교,250.0,0,202,60,4,보통
82,동북고등학교,104.8,0,9,20,0,매우 안전하지 않음
83,동성고등학교,100.0,1,168,40,3,안전하지 않음
84,동양고등학교,72.7,0,41,20,0,매우 안전하지 않음
85,동일여자고등학교,145.2,1,167,40,3,안전하지 않음
86,동작고등학교,129.65,0,185,60,4,보통
87,둔촌고등학교,172.4,1,185,40,3,안전하지 않음
88,등촌고등학교,45.2,0,67,20,0,매우 안전하지 않음
89,리라아트고등학교,150.0,0,128,20,0,매우 안전하지 않음
90,마포고등학교,16.65,1,56,40,3,안전하지 않음
91,면목고등학교,350.0,1,142,80,2,안전
92,명덕고등학교,514.05,0,111,80,2,안전
93,명덕여자고등학교,341.65,0,111,80,2,안전
94,명덕외국어고등학교,123.35,0,111,20,0,매우 안전하지 않음
95,명일여자고등학교,100.0,0,101,20,0,매우 안전하지 않음
96,명지고등학교,66.65,0,180,60,4,보통
97,목동고등학교,96.85,1,102,40,3,안전하지 않음
98,무학여자고등학교,180.0,1,331,100,1,매우 안전
99,문일고등학교,76.0,0,95,20,0,매우 안전하지 않음
100,문정고등학교,350.0,1,129,80,2,안전
101,문현고등학교,18.75,2,90,40,3,안전하지 않음
102,미래산업과학고등학교,70.0,0,93,20,0,매우 안전하지 않음
103,미림여자고등학교,378.9,0,257,60,4,보통
104,미림여자정보과학고등학교,411.0,0,257,80,2,안전
105,미양고등학교,164.55,0,133,20,0,매우 안전하지 않음
106,반포고등학교,0.05,0,161,20,0,매우 안전하지 않음
107,방산고등학교,117.2,0,121,20,0,매우 안전하지 않음
108,배명고등학교,290.0,0,84,80,2,안전
109,배문고등학교,214.75,0,153,20,0,매우 안전하지 않음
110,배재고등학교,151.75,1,77,40,3,안전하지 않음
111,배화여자고등학교,150.0,2,166,100,1,매우 안전
112,백암고등학교,7.8,0,98,20,0,매우 안전하지 않음
113,보성고등학교,50.0,0,37,20,0,매우 안전하지 않음
114,보성여자고등학교,136.0,0,88,20,0,매우 안전하지 않음
115,보인고등학교,540.0,0,123,80,2,안전
116,불암고등학교,240.0,1,101,40,3,안전하지 않음
117,삼각산고등학교,316.65,0,115,80,2,안전
118,삼성고등학교,70.0,0,106,20,0,매우 안전하지 않음
119,상계고등학교,75.0,1,47,40,3,안전하지 않음
120,상명고등학교,210.45,0,84,20,0,매우 안전하지 않음
121,상명대학교사범대학부속여자고등학교,150.0,0,75,20,0,매우 안전하지 않음
122,상문고등학교,50.0,0,138,20,0,매우 안전하지 않음
123,상암고등학교,300.0,0,40,80,2,안전
124,상일미디어고등학교,263.65,0,103,20,0,매우 안전하지 않음
125,상일여자고등학교,42.9,0,103,20,0,매우 안전하지 않음
126,서라벌고등학교,100.0,0,38,20,0,매우 안전하지 않음
127,서문여자고등학교,136.3,0,299,60,4,보통
128,서서울생활과학고등학교,100.0,0,24,20,0,매우 안전하지 않음
129,서울고등학교,540.0,0,142,80,2,안전
130,서울공업고등학교,366.65,1,173,80,2,안전
131,서울공연예술고등학교,7.1,0,98,20,0,매우 안전하지 않음
132,서울과학고등학교,229.2,2,207,100,1,매우 안전
133,서울관광고등학교,152.5,1,266,100,1,매우 안전
134,서울국제고등학교,120.0,2,181,100,1,매우 안전
135,서울금융고등학교,83.2,1,181,40,3,안전하지 않음
136,서울대학교사범대학부설고등학교,60.0,0,130,20,0,매우 안전하지 않음
137,서울도시과학기술고등학교,7.15,1,178,40,3,안전하지 않음
138,서울동산고등학교,293.35,0,98,80,2,안전
139,서울디자인고등학교,90.0,0,147,20,0,매우 안전하지 않음
140,서울디지텍고등학교,60.0,0,82,20,0,매우 안전하지 않음
141,서울로봇고등학교,300.0,0,64,80,2,안전
142,서울매그넷고등학교,100.0,1,167,40,3,안전하지 않음
143,서울문영여자고등학교,135.2,0,50,20,0,매우 안전하지 않음
144,서울문화고등학교,77.3,0,82,20,0,매우 안전하지 않음
145,서울미술고등학교,225.0,0,251,60,4,보통
146,서울방송고등학교,24.5,0,120,20,0,매우 안전하지 않음
147,서울세종고등학교,300.0,1,106,40,3,안전하지 않음
148,서울신정고등학교,7.75,0,140,20,0,매우 안전하지 않음
149,서울아이티고등학교,161.25,0,75,20,0,매우 안전하지 않음
150,서울여자고등학교,120.0,0,151,20,0,매우 안전하지 않음
151,서울여자상업고등학교,102.5,0,50,20,0,매우 안전하지 않음
152,서울영상고등학교,118.05,2,263,100,1,매우 안전
153,서울예술고등학교,120.0,1,34,40,3,안전하지 않음
154,서울외국어고등학교,180.0,0,58,20,0,매우 안전하지 않음
155,서울의료보건고등학교,108.8,2,196,100,1,매우 안전
156,서울인공지능고등학교,213.1,0,115,20,0,매우 안전하지 않음
157,서울전자고등학교,104.2,0,41,20,0,매우 안전하지 않음
158,서울체육고등학교,54.2,0,104,20,0,매우 안전하지 않음
159,서울컨벤션고등학교,60.0,0,132,20,0,매우 안전하지 않음
160,서울항공비즈니스고등학교,10.15,0,143,20,0,매우 안전하지 않음
161,서일문화예술고등학교,120.0,2,189,100,1,매우 안전
162,서초고등학교,3.2,0,158,20,0,매우 안전하지 않음
163,석관고등학교,175.0,0,169,60,4,보통
164,선덕고등학교,458.3,1,72,80,2,안전
165,선린인터넷고등학교,96.9,1,90,40,3,안전하지 않음
166,선사고등학교,87.5,1,159,40,3,안전하지 않음
167,선유고등학교,108.7,0,84,20,0,매우 안전하지 않음
168,선일빅데이터고등학교,174.5,0,220,60,4,보통
169,선일여자고등학교,165.6,0,220,60,4,보통
170,선정고등학교,168.9,0,179,60,4,보통
171,선정국제관광고등학교,46.0,0,179,60,4,보통
172,선화예술고등학교,150.0,0,233,60,4,보통
173,성남고등학교,306.95000000000005,0,103,80,2,안전
174,성덕고등학교,111.65,0,278,60,4,보통
175,성동고등학교,69.6,0,333,60,4,보통
176,성동공업고등학교,687.85,2,213,80,2,안전
177,성동글로벌경영고등학교,144.0,2,292,100,1,매우 안전
178,성보고등학교,657.15,1,268,80,2,안전
179,성수고등학교,212.2,0,73,20,0,매우 안전하지 않음
180,성수공업고등학교,44.2,1,336,100,1,매우 안전
181,성신여자고등학교,250.0,0,154,20,0,매우 안전하지 않음
182,성심여자고등학교,100.0,0,68,20,0,매우 안전하지 않음
183,성암국제무역고등학교,95.8,1,142,40,3,안전하지 않음
184,세그루패션디자인고등학교,113.8,1,72,40,3,안전하지 않음
185,세명컴퓨터고등학교,419.2,0,155,80,2,안전
186,세종과학고등학교,301.29999999999995,0,112,80,2,안전
187,세현고등학교,293.5,0,47,80,2,안전
188,세화고등학교,250.0,1,156,40,3,안전하지 않음
189,세화여자고등학교,92.8,1,156,40,3,안전하지 않음
190,송곡고등학교,96.6,0,58,20,0,매우 안전하지 않음
191,송곡관광고등학교,45.7,0,47,20,0,매우 안전하지 않음
192,송곡여자고등학교,306.2,0,47,80,2,안전
193,수도여자고등학교,0.2,0,111,20,0,매우 안전하지 않음
194,수도전기공업고등학교,245.0,0,141,20,0,매우 안전하지 않음
195,수락고등학교,106.2,2,63,40,3,안전하지 않음
196,수명고등학교,33.45,1,21,40,3,안전하지 않음
197,숙명여자고등학교,120.0,0,96,20,0,매우 안전하지 않음
198,숭문고등학교,100.0,0,170,60,4,보통
199,숭실고등학교,200.0,1,162,40,3,안전하지 않음
200,숭의여자고등학교,493.2000000000001,0,77,80,2,안전
201,신광여자고등학교,155.0,0,72,20,0,매우 안전하지 않음
202,신도고등학교,105.0,0,99,20,0,매우 안전하지 않음
203,신도림고등학교,103.3,0,127,20,0,매우 안전하지 않음
204,신림고등학교,60.0,1,275,100,1,매우 안전
205,신목고등학교,82.05000000000001,0,75,20,0,매우 안전하지 않음
206,신서고등학교,65.45,2,271,100,1,매우 안전
207,신일고등학교,200.0,0,93,20,0,매우 안전하지 않음
208,신진과학기술고등학교,135.0,0,274,60,4,보통
209,신현고등학교,75.0,0,121,20,0,매우 안전하지 않음
210,압구정고등학교,20.7,1,88,40,3,안전하지 않음
211,양재고등학교,85.95,0,92,20,0,매우 안전하지 않음
212,양정고등학교,235.0,0,75,20,0,매우 안전하지 않음
213,양천고등학교,103.35,0,171,60,4,보통
214,언남고등학교,103.4,0,327,60,4,보통
215,여의도고등학교,3.0,0,8,20,0,매우 안전하지 않음
216,여의도여자고등학교,125.0,0,15,20,0,매우 안전하지 않음
217,염광고등학교,4.1,0,82,20,0,매우 안전하지 않음
218,염광여자메디텍고등학교,20.0,0,82,20,0,매우 안전하지 않음
219,영동고등학교,50.0,0,287,60,4,보통
220,영동일고등학교,233.35,0,79,20,0,매우 안전하지 않음
221,영등포고등학교,42.75,2,129,40,3,안전하지 않음
222,영등포공업고등학교,24.25,0,21,20,0,매우 안전하지 않음
223,영등포여자고등학교,406.55,1,82,80,2,안전
224,영락고등학교,138.1,0,209,60,4,보통
225,영락의료과학고등학교,22.2,0,209,60,4,보통
226,영신간호비즈니스고등학교,472.2000000000001,0,69,80,2,안전
227,영신고등학교,111.5,1,123,40,3,안전하지 않음
228,영신여자고등학교,128.6,0,69,20,0,매우 안전하지 않음
229,영일고등학교,41.65,2,220,100,1,매우 안전
230,영파여자고등학교,462.15,0,192,80,2,안전
231,영훈고등학교,125.0,1,133,40,3,안전하지 않음
232,예림디자인고등학교,150.0,0,79,20,0,매우 안전하지 않음
233,예일디자인고등학교,162.5,0,253,60,4,보통
234,예일여자고등학교,54.7,0,253,60,4,보통
235,오금고등학교,22.5,1,90,40,3,안전하지 않음
236,오류고등학교,208.7,0,79,20,0,매우 안전하지 않음
237,오산고등학교,101.7,1,51,40,3,안전하지 않음
238,용문고등학교,80.0,0,94,20,0,매우 안전하지 않음
239,용산고등학교,284.6,1,82,40,3,안전하지 않음
240,용산철도고등학교,450.0,1,39,80,2,안전
241,용화여자고등학교,381.2,0,52,80,2,안전
242,우신고등학교,100.0,0,137,20,0,매우 안전하지 않음
243,원묵고등학교,13.25,1,99,40,3,안전하지 않음
244,월계고등학교,57.7,0,83,20,0,매우 안전하지 않음
245,유한공업고등학교,120.0,0,56,20,0,매우 안전하지 않음
246,은광여자고등학교,150.0,1,274,100,1,매우 안전
247,은평고등학교,120.0,0,116,20,0,매우 안전하지 않음
248,은평메디텍고등학교,114.55,0,56,20,0,매우 안전하지 않음
249,이화여자고등학교,1.1,1,86,40,3,안전하지 않음
250,이화여자대학교병설미디어고등학교,100.0,0,143,20,0,매우 안전하지 않음
251,이화여자대학교사범대학부속이화금란고등학교,200.0,0,59,20,0,매우 안전하지 않음
252,이화여자외국어고등학교,101.65,0,99,20,0,매우 안전하지 않음
253,인덕과학기술고등학교,275.0,0,98,80,2,안전
254,인창고등학교,83.35,0,170,60,4,보통
255,인헌고등학교,292.2,0,210,60,4,보통
256,일신여자상업고등학교,100.0,0,121,20,0,매우 안전하지 않음
257,자양고등학교,163.6,2,249,100,1,매우 안전
258,자운고등학교,9.45,0,41,20,0,매우 안전하지 않음
259,잠신고등학교,4.7,0,29,20,0,매우 안전하지 않음
260,잠실고등학교,550.0,0,52,80,2,안전
261,잠실여자고등학교,210.0,0,121,20,0,매우 안전하지 않음
262,잠일고등학교,200.0,1,28,40,3,안전하지 않음
263,장충고등학교,284.2,0,214,60,4,보통
264,장훈고등학교,10.9,1,134,40,3,안전하지 않음
265,재현고등학교,291.65,0,40,80,2,안전
266,정신여자고등학교,130.7,0,40,20,0,매우 안전하지 않음
267,정의여자고등학교,8.6,0,116,20,0,매우 안전하지 않음
268,정화여자상업고등학교,180.95,2,163,100,1,매우 안전
269,중경고등학교,62.85,0,28,20,0,매우 안전하지 않음
270,중동고등학교,155.0,1,214,100,1,매우 안전
271,중산고등학교,500.0,0,98,80,2,안전
272,중앙고등학교,14.15,0,60,20,0,매우 안전하지 않음
273,중앙대학교사범대학부속고등학교,5.6,0,99,20,0,매우 안전하지 않음
274,중앙여자고등학교,163.6,0,153,20,0,매우 안전하지 않음
275,중화고등학교,626.4,0,161,80,2,안전
276,진관고등학교,127.0,1,41,40,3,안전하지 않음
277,진명여자고등학교,3.3,1,168,40,3,안전하지 않음
278,진선여자고등학교,10.0,1,207,100,1,매우 안전
279,창덕여자고등학교,43.8,0,10,20,0,매우 안전하지 않음
280,창동고등학교,215.0,0,140,20,0,매우 안전하지 않음
281,창문여자고등학교,520.0,0,186,80,2,안전
282,청담고등학교,115.85,0,148,20,0,매우 안전하지 않음
283,청량고등학교,128.4,2,217,100,1,매우 안전
284,청원고등학교,233.35,1,91,40,3,안전하지 않음
285,청원여자고등학교,43.2,1,91,40,3,안전하지 않음
286,충암고등학교,150.0,0,296,60,4,보통
287,태릉고등학교,44.4,0,120,20,0,매우 안전하지 않음
288,풍문고등학교,138.9,0,135,20,0,매우 안전하지 않음
289,하나고등학교,55.0,0,52,20,0,매우 안전하지 않음
290,한가람고등학교,175.0,0,74,20,0,매우 안전하지 않음
291,한강미디어고등학교,0.1,0,39,20,0,매우 안전하지 않음
292,한광고등학교,131.45,0,130,20,0,매우 안전하지 않음
293,한국삼육고등학교,150.0,0,5,20,0,매우 안전하지 않음
294,한서고등학교,450.0,0,56,80,2,안전
295,한성고등학교,44.4,0,207,60,4,보통
296,한성과학고등학교,61.8,0,65,20,0,매우 안전하지 않음
297,한성여자고등학교,533.3,0,134,80,2,안전
298,한세사이버보안고등학교,10.0,1,125,40,3,안전하지 않음
299,한양공업고등학교,360.0,2,278,100,1,매우 안전
300,한양대학교사범대학부속고등학교,205.9,1,329,100,1,매우 안전
301,한영고등학교,211.2,0,71,20,0,매우 안전하지 않음
302,한영외국어고등학교,35.0,0,71,20,0,매우 안전하지 않음
303,해성국제컨벤션고등학교,240.0,0,193,60,4,보통
304,해성여자고등학교,120.0,0,193,60,4,보통
305,현대고등학교,420.0,0,142,80,2,안전
306,혜성여자고등학교,62.2,1,67,40,3,안전하지 않음
307,혜원여자고등학교,111.5,0,294,60,4,보통
308,혜화여자고등학교,150.0,1,109,40,3,안전하지 않음
309,홍익대학교사범대학부속고등학교,50.0,1,128,40,3,안전하지 않음
310,홍익대학교사범대학부속여자고등학교,350.0,0,121,80,2,안전
311,홍익디자인고등학교,40.0,0,148,20,0,매우 안전하지 않음
312,화곡고등학교,42.0,1,74,40,3,안전하지 않음
313,화곡보건경영고등학교,39.0,1,96,40,3,안전하지 않음
314,환일고등학교,50.0,0,184,60,4,보통
315,효문고등학교,263.6,0,109,20,0,매우 안전하지 않음
316,휘경공업고등학교,187.9,1,99,40,3,안전하지 않음
317,휘경여자고등학교,44.8,1,136,40,3,안전하지 않음
318,휘문고등학교,4.6,0,191,60,4,보통
319,휘봉고등학교,6.3,1,89,40,3,안전하지 않음
