,학교명,교실안,신체폭력,집단따돌림,쉬는시간,500m_inner_Harmful_dept,위해지표_score,위해지표_cluster,위해지표_학교폭력위험도
260,잠실고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
261,잠실여자고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
262,잠일고등학교,0.0,1.0,0.0,0.0,11,0,0,매우 안전
263,장충고등학교,0.0,1.0,0.0,0.0,4,0,0,매우 안전
264,장훈고등학교,0.0,0.0,0.0,0.0,12,80,3,위험
265,재현고등학교,0.5,0.0,0.5,0.5,0,40,4,보통
266,정신여자고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
267,정의여자고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
268,정화여자상업고등학교,0.0,0.0,0.0,0.0,19,80,3,위험
269,중경고등학교,0.5,0.5,0.0,0.5,0,0,0,매우 안전
270,중동고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
271,중산고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
272,중앙고등학교,1.0,0.0,1.0,1.0,2,20,5,안전
273,중앙대학교사범대학부속고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
274,중앙여자고등학교,1.0,0.0,1.0,1.0,0,20,5,안전
275,중화고등학교,0.5,0.5,0.0,0.5,0,0,0,매우 안전
276,진관고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
277,진명여자고등학교,0.0,0.0,1.0,1.0,0,60,2,주의
278,진선여자고등학교,0.0,0.0,0.0,0.0,4,100,1,매우 위험
279,창덕여자고등학교,0.0,0.0,1.0,0.0,0,60,2,주의
280,창동고등학교,1.0,1.0,1.0,1.0,2,0,0,매우 안전
281,창문여자고등학교,0.0,0.0,0.0,0.0,14,80,3,위험
282,청담고등학교,0.0,0.0,1.0,0.0,1,60,2,주의
283,청량고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
284,청원고등학교,0.6666666666666666,0.3333333333333333,0.0,1.0,0,40,4,보통
285,청원여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
286,충암고등학교,0.0,0.0,0.0,0.0,2,100,1,매우 위험
287,태릉고등학교,0.0,1.0,1.0,0.0,0,0,0,매우 안전
288,풍문고등학교,1.0,0.0,0.0,1.0,1,40,4,보통
289,하나고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
290,한가람고등학교,0.25,0.0,0.25,0.25,0,100,1,매우 위험
291,한강미디어고등학교,0.0,0.0,0.0,0.0,4,100,1,매우 위험
292,한광고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
293,한국삼육고등학교,0.6666666666666666,0.0,0.3333333333333333,1.0,0,40,4,보통
294,한서고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
295,한성고등학교,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,0,0,매우 안전
296,한성과학고등학교,0.0,1.0,1.0,0.0,0,0,0,매우 안전
297,한성여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
298,한세사이버보안고등학교,1.0,0.0,0.0,1.0,1,40,4,보통
299,한양공업고등학교,0.0,0.0,0.0,0.0,22,80,3,위험
300,한양대학교사범대학부속고등학교,0.25,0.0,0.25,0.5,1,40,4,보통
301,한영고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
302,한영외국어고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
303,해성국제컨벤션고등학교,0.0,1.0,0.0,1.0,3,0,0,매우 안전
304,해성여자고등학교,1.0,0.0,0.0,1.0,3,40,4,보통
305,현대고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
306,혜성여자고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
307,혜원여자고등학교,0.0,0.0,0.0,0.0,9,80,3,위험
308,혜화여자고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
309,홍익대학교사범대학부속고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
310,홍익대학교사범대학부속여자고등학교,0.5,0.5,0.5,0.5,4,0,0,매우 안전
311,홍익디자인고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
312,화곡고등학교,0.0,0.0,0.0,0.0,0,100,1,매우 위험
313,화곡보건경영고등학교,0.5,0.25,0.25,0.25,0,40,4,보통
314,환일고등학교,0.0,0.0,0.0,0.0,3,100,1,매우 위험
315,효문고등학교,0.0,0.0,0.0,1.0,0,40,4,보통
316,휘경공업고등학교,1.0,0.0,0.0,0.0,0,40,4,보통
317,휘경여자고등학교,0.0,0.0,0.0,0.0,1,100,1,매우 위험
318,휘문고등학교,1.0,0.0,0.0,0.0,0,40,4,보통
319,휘봉고등학교,0.5,0.5,0.5,0.5,0,0,0,매우 안전
