,학교명,시군구,한부모가족지원법수급자_재가보호_가구원수,국민기초생활보장법수급자_가구원수,소득인식수준_중간소득,소득인식수준_고소득,성인게임장수,사건종별가정폭력,사건종별데이트폭력,월평균소득금액(백만),다문화가족,환경지표_score,환경지표_cluster,환경지표_학교폭력위험도,교실안,신체폭력,집단따돌림,쉬는시간,500m_inner_Harmful_dept,위해지표_score,위해지표_cluster,위해지표_학교폭력위험도,평균 교육 시간(1학급당),500m_inner_police_dept,500m_inner_cctv,경감지표_score,경감지표_cluster,경감지표_학교폭력위험도,total_score,종합_위험도
17,경성고등학교,마포구,12.781037587869635,35.38551728872998,53.7,29.8,2.0,3.686419392996614,0.9088444428013358,40.22976,1.875039063313819,36.21928010941029,3,매우낮음,0.0,0.0,0.0,0.0,3,100,1,매우 위험,540.0,0,148,80,2,안전,45.13735614612013,안전
18,경신고등학교,종로구,17.296425622118615,27.635266501505303,38.2,53.5,17.0,0.997552178228088,0.321508329233199,23.05023333333333,6.249166777762965,32.34150469437501,0,낮음,1.0,0.0,1.0,1.0,0,20,5,안전,269.2,2,188,100,1,매우 안전,12.874806096199247,매우안전
19,경인고등학교,구로구,15.83709870050313,51.975126020091984,51.1,26.5,49.0,4.514844411515665,0.5302776676330382,28.90323,7.541278577476715,70.97225945894482,4,높음,0.0,0.0,0.0,0.0,1,100,1,매우 위험,7.05,0,95,20,0,매우 안전하지 않음,82.13589049035693,매우위험
20,경일고등학교,성동구,11.548764487207524,37.51640061228952,47.1,33.3,15.0,2.795477403730747,0.5837023471098476,35.35332,1.91429430907649,38.34684585486745,3,매우낮음,0.5,0.5,0.5,0.5,0,0,0,매우 안전,50.0,0,295,60,4,보통,22.643884599894147,매우안전
21,경희고등학교,동대문구,17.442884496286997,53.49340636239155,46.3,22.0,16.0,4.093671836552462,0.90907541348727,30.11303,3.3485030669244,58.57481779644922,2,보통,1.0,0.0,1.0,1.0,3,20,5,안전,91.65,1,186,40,3,안전하지 않음,45.448732343551455,안전
22,경희여자고등학교,동대문구,17.442884496286997,53.49340636239155,46.3,22.0,16.0,4.093671836552462,0.90907541348727,30.11303,3.3485030669244,58.57481779644922,2,보통,0.0,0.0,0.0,0.0,3,100,1,매우 위험,71.85,1,186,40,3,안전하지 않음,69.38076201271805,위험
23,계성고등학교,성북구,15.267799937292963,53.43729978052538,49.3,38.8,12.0,2.114308650138409,0.2366660456549628,31.817815,1.910839616861492,50.47278696655239,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,56.0,1,130,40,3,안전하지 않음,65.1730489204527,위험
24,고려대학교사범대학부속고등학교,성북구,15.267799937292963,53.43729978052538,49.3,38.8,12.0,2.114308650138409,0.2366660456549628,31.817815,1.910839616861492,50.47278696655239,2,보통,0.0,0.0,1.0,0.0,0,60,2,주의,250.0,0,152,20,0,매우 안전하지 않음,59.52366847615078,보통
25,고명외식고등학교,성북구,15.267799937292963,53.43729978052538,49.3,38.8,12.0,2.114308650138409,0.2366660456549628,31.817815,1.910839616861492,50.47278696655239,2,보통,1.0,1.0,0.0,1.0,8,0,0,매우 안전,104.15,0,230,60,4,보통,28.94137744371306,매우안전
26,고척고등학교,구로구,15.83709870050313,51.975126020091984,51.1,26.5,49.0,4.514844411515665,0.5302776676330382,28.90323,7.541278577476715,70.97225945894482,4,높음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,78.19999999999999,0,248,60,4,보통,69.50262170979416,위험
27,공항고등학교,강서구,20.076996315767687,67.13030039602047,62.7,17.2,15.0,5.099762909135696,1.060769135240303,31.65221,2.591577629296631,77.83118571908382,1,매우높음,0.5,0.0,0.0,1.0,1,40,4,보통,160.0,0,117,20,0,매우 안전하지 않음,67.7489867282282,위험
28,관악고등학교,영등포구,9.553313977271594,25.866283536372432,39.2,40.5,17.0,3.276145648075097,0.6381347674113096,35.48012,3.242715590441678,25.401158874725976,3,매우낮음,0.5,0.0,0.0,0.0,0,100,1,매우 위험,90.0,0,78,20,0,매우 안전하지 않음,58.46897035848167,보통
29,광남고등학교,광진구,16.50469192659666,57.36940166237979,53.1,23.0,7.0,3.966529015431428,0.9240169735537362,30.66952,2.4994566398609,60.19373183370286,2,보통,0.5,0.5,0.0,0.5,1,0,0,매우 안전,102.3,1,86,40,3,안전하지 않음,40.30649262176993,매우안전
30,광문고등학교,강동구,14.148759196693478,48.66315663105181,52.6,19.8,15.0,4.690014354443052,0.769964042143294,33.3621,1.3340944911205153,55.14826653218568,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,1.2000000000000002,0,135,20,0,매우 안전하지 않음,73.91784940809573,매우위험
31,광성고등학교,마포구,12.781037587869635,35.38551728872998,53.7,29.8,2.0,3.686419392996614,0.9088444428013358,40.22976,1.875039063313819,36.21928010941029,3,매우낮음,0.0,0.0,0.0,0.0,6,100,1,매우 위험,150.0,0,140,20,0,매우 안전하지 않음,64.08725931696429,위험
32,광신고등학교,관악구,13.034363868983618,52.35769818339811,58.0,20.0,64.0,3.023201664450904,1.1496001927457389,27.82525,3.560242457017959,77.86743315829996,4,높음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,236.7,0,138,20,0,매우 안전하지 않음,85.71683374487547,매우위험
33,광신방송예술고등학교,관악구,13.034363868983618,52.35769818339811,58.0,20.0,64.0,3.023201664450904,1.1496001927457389,27.82525,3.560242457017959,77.86743315829996,4,높음,0.0,0.0,0.0,0.0,0,100,1,매우 위험,100.0,0,138,20,0,매우 안전하지 않음,85.71683374487547,매우위험
34,광양고등학교,광진구,16.50469192659666,57.36940166237979,53.1,23.0,7.0,3.966529015431428,0.9240169735537362,30.66952,2.4994566398609,60.19373183370286,2,보통,0.5,0.0,0.0,0.0,0,100,1,매우 위험,106.5,0,205,60,4,보통,63.9048953179468,위험
35,광영고등학교,양천구,15.982703163465317,58.27027195013396,62.8,13.5,6.0,4.280518811753725,0.4125165284088848,35.63309,2.47819510154163,65.10383413720601,2,보통,0.0,0.0,0.0,0.0,0,100,1,매우 위험,450.0,0,109,80,2,안전,60.13827612516072,보통
